user_id,review_id,text,votes.cool,business_id,votes.funny,stars,date,type,votes.useful
PUFPaY9KxDAcGqfsorJp3Q,Ya85v4eqdd6k9Od8HbQjyA,"Mr Hoagie is an institution. Walking in, it does seem like a throwback to 30 years ago, old fashioned menu board, booths out of the 70s, and a large selection of food. Their speciality is the Italian Hoagie, and it is voted the best in the area year after year. I usually order the burger, while the patties are obviously cooked from frozen, all of the other ingredients are very fresh. Overall, its a good alternative to Subway, which is down the road.",0,5UmKMjUEUNdYWqANhGckJw,0,4,2012-08-01,review,0
Iu6AxdBYGR4A0wspR9BYHA,KPvLNJ21_4wbYNctrOwWdQ,"Excellent food. Superb customer service. I miss the mario machines they used to have, but it's still a great place steeped in tradition.",0,5UmKMjUEUNdYWqANhGckJw,0,5,2014-02-13,review,0
auESFwWvW42h6alXgFxAXQ,fFSoGV46Yxuwbr3fHNuZig,Yes this place is a little out dated and not opened on the weekend. But other than that the staff is always pleasant and fast to make your order. Which is always spot on fresh veggies on their hoggies and other food. They also have daily specials and ice cream which is really good. I had a banana split they piled the toppings on. They win pennysaver awards ever years i see why.,0,5UmKMjUEUNdYWqANhGckJw,0,5,2015-10-31,review,0
uK8tzraOp4M5u3uYrqIBXg,Di3exaUCFNw1V4kSNW5pgA,"All the food is great here. But the best thing they have is their wings. Their wings are simply fantastic!!  The ""Wet Cajun"" are by the best & most popular.  I also like the seasoned salt wings.  Wing Night is Monday & Wednesday night, $0.75 whole wings!

The dining area is nice. Very family friendly! The bar is very nice is well.  This place is truly a Yinzer's dream!!  ""Pittsburgh Dad"" would love this place n'at!!",0,UsFtqoBl7naz8AVUBZMjQQ,0,5,2013-11-08,review,0
I_47G-R2_egp7ME5u_ltew,0Lua2-PbqEQMjD9r89-asw,"We checked this place out this past Monday for their wing night. We have heard that their wings are great and decided it was finally time to check it out. Their wings are whole wings and crispy, which is a nice change of pace. I got their wet Cajun sauce and garlic butter wings. The Cajun did not have a bold enough flavor for me and their sauce is too thin. The sauce was also thin for the garlic butter, but that is more expected. They were better than average, but I don't like seeing all the sauce resting at the bottom of the boat. I would definitely come try this place out again to sample some of the other items on the menu, but this will probably not become a regular stop for wings anytime soon.",0,UsFtqoBl7naz8AVUBZMjQQ,0,3,2014-03-29,review,0
PP_xoMSYlGr2pb67BbqBdA,7N9j5YbBHBW6qguE5DAeyA,"Wing sauce is like water. Pretty much a lot of butter and some hot sauce (franks red hot maybe).  The whole wings are good size and crispy, but for $1 a wing the sauce could be better. The hot and extra hot are about the same flavor/heat.  The fish sandwich is good and is a large portion, sides are decent.",0,UsFtqoBl7naz8AVUBZMjQQ,0,1,2014-10-29,review,0
JPPhyFE-UE453zA6K0TVgw,mjCJR33jvUNt41iJCxDU_g,"Cold cheap beer. Good bar food. Good service. 

Looking for a great Pittsburgh style fish sandwich, this is the place to go. The breading is light, fish is more than plentiful and a good side of home cut fries. 

Good grilled chicken salads or steak.  Soup of day is homemade and lots of specials. Great place for lunch or bar snacks and beer.",0,UsFtqoBl7naz8AVUBZMjQQ,0,4,2014-11-28,review,0
2d5HeDvZTDUNVog_WuUpSg,Ieh3kfZ-5J9pLju4JiQDvQ,I highly recommend this place. The mechanics are really honest and I'm usually in and out with no issues.,0,3eu6MEFlq2Dg7bQh8QbdOg,0,5,2014-02-27,review,0
BShxMIUwaJS378xcrz4Nmg,PU28OoBSHpZLkYGCmNxlmg,"I am a big believer in first impressions, so when I go to a new business I pay close attention to how they treat me and how they run their business. Joe was very polite and friendly as soon as I met him, as was his shop assistant. I needed a CV joint installed as well as a new transmission mount. Joe was nice enough to estimate a fair price to install both, he honored that price, was fast, very friendly, and treated me like he knew me for years. It's a great neighborhood shop and Joe is a real nice guy who could have easily raked me over the coals, but he didn't. I know quite a bit about cars, and everything he told me was true. He's earned my repeat business immediately. Give him a call, you'll be glad you did. Thanks Joe!",0,3eu6MEFlq2Dg7bQh8QbdOg,0,5,2015-06-16,review,0
fhNxoMwwTipzjO8A9LFe8Q,XsA6AojkWjOHA4FmuAb8XQ,"Decent range somewhat close to the city.  The mats are pretty solid; however, the grass range needs to be tended too.  It's like hitting out of US Open type rough...not very amenable to practicing.  Which kind of defeats the purpose of going to a golf range...Still gets 3 stars because the range is lit up at night which is excellent for those of us who are addicted to this amazing game, but are somewhat short on time (having a job kinda sucks sometimes, no?).",0,cE27W9VPgO88Qxe4ol6y_g,0,3,2012-08-19,review,1
